seed,dp_value,greedy_value,greedy_time,ls_value,ls_time,ls_iters,psi_value,psi_time,psi_iters,psi_repairs,psi_N,psi_coh,item0_w,item0_v,greedy_feasible,ls_feasible,psi_feasible
2000,9200,9182,0.118,9189,0.236,1,9195,2.905,50,20,3.79,0.0000,48,33,1,1,1
2001,9846,9843,0.115,9843,0.171,0,9843,3.349,50,16,3.89,0.0000,13,17,1,1,1
2002,9888,9865,0.100,9867,0.196,1,9875,2.961,50,10,3.80,0.0000,29,38,1,1,1
2003,9517,9514,0.103,9514,0.161,0,9514,3.983,50,27,3.89,0.0000,22,21,1,1,1
2004,11404,11404,0.106,11404,0.169,0,11404,4.712,50,30,3.89,0.0000,45,79,1,1,1
2005,10433,10415,0.111,10427,0.210,1,10432,3.418,50,19,3.79,0.0000,20,169,1,1,1
2006,10529,10520,0.111,10524,0.219,1,10524,3.194,50,25,3.89,0.0000,46,179,1,1,1
2007,9677,9671,0.113,9674,0.214,1,9674,3.493,50,10,3.89,0.0000,31,146,1,1,1
2008,10058,10052,0.104,10052,0.164,0,10058,3.382,50,25,3.79,0.0000,50,66,1,1,1
2009,10484,10468,0.105,10468,0.160,0,10474,2.983,50,18,3.80,0.0000,16,158,1,1,1
2010,9897,9880,0.097,9880,0.156,0,9896,3.477,50,16,3.79,0.0000,14,116,1,1,1
2011,9544,9544,0.106,9544,0.166,0,9544,3.535,50,21,3.89,0.0000,17,97,1,1,1
2012,9906,9882,0.099,9886,0.195,1,9888,3.225,50,20,3.76,0.0000,28,46,1,1,1
2013,9571,9571,0.097,9571,0.150,0,9571,3.300,50,22,3.89,0.0000,50,7,1,1,1
2014,10276,10228,0.104,10263,0.204,1,10269,3.793,50,22,3.71,0.0000,14,85,1,1,1
2015,10845,10813,0.111,10813,0.182,0,10830,3.309,50,11,3.72,0.0000,15,175,1,1,1
2016,10939,10922,0.102,10934,0.207,1,10939,3.262,50,13,3.80,0.0000,6,173,1,1,1
2017,9292,9292,0.102,9292,0.163,0,9292,2.934,50,21,3.89,0.0000,22,148,1,1,1
2018,10935,10928,0.102,10930,0.201,1,10930,3.645,50,27,3.89,0.0000,26,16,1,1,1
2019,10004,10004,0.101,10004,0.162,0,10004,2.982,50,18,3.89,0.0000,38,131,1,1,1
2020,9243,9243,0.105,9243,0.168,0,9243,3.650,50,24,3.89,0.0000,18,116,1,1,1
2021,9469,9456,0.102,9469,0.252,2,9469,2.920,50,22,3.89,0.0000,43,167,1,1,1
2022,10909,10884,0.104,10886,0.213,1,10889,4.297,50,26,3.75,0.0000,23,137,1,1,1
2023,10459,10441,0.112,10449,0.213,1,10449,3.256,50,23,3.89,0.0000,31,171,1,1,1
2024,10594,10594,0.097,10594,0.156,0,10594,3.364,50,30,3.89,0.0000,6,164,1,1,1
2025,9622,9615,0.096,9622,0.191,1,9622,3.763,50,30,3.89,0.0000,42,159,1,1,1
