seed,model,final_value,improvements,sum_N,resilience_score
0,GR-B,10116,0,0.0000,0.0000
0,GR-LS,10119,1,0.0000,0.0000
0,PSI,19862,3,229.5437,0.0000
1,GR-B,10116,0,0.0000,0.0000
1,GR-LS,10119,1,0.0000,0.0000
1,PSI,19862,3,229.5437,0.0000
2,GR-B,10116,0,0.0000,0.0000
2,GR-LS,10119,1,0.0000,0.0000
2,PSI,19862,3,229.5437,0.0000
3,GR-B,10116,0,0.0000,0.0000
3,GR-LS,10119,1,0.0000,0.0000
3,PSI,19862,3,229.5437,0.0000
4,GR-B,10116,0,0.0000,0.0000
4,GR-LS,10119,1,0.0000,0.0000
4,PSI,19862,3,229.5437,0.0000
5,GR-B,10116,0,0.0000,0.0000
5,GR-LS,10119,1,0.0000,0.0000
5,PSI,19862,3,229.5437,0.0000
6,GR-B,10116,0,0.0000,0.0000
6,GR-LS,10119,1,0.0000,0.0000
6,PSI,19862,3,229.5437,0.0000
7,GR-B,10116,0,0.0000,0.0000
7,GR-LS,10119,1,0.0000,0.0000
7,PSI,19862,3,229.5437,0.0000
8,GR-B,10116,0,0.0000,0.0000
8,GR-LS,10119,1,0.0000,0.0000
8,PSI,19862,3,229.5437,0.0000
9,GR-B,10116,0,0.0000,0.0000
9,GR-LS,10119,1,0.0000,0.0000
9,PSI,19862,3,229.5437,0.0000
10,GR-B,10116,0,0.0000,0.0000
10,GR-LS,10119,1,0.0000,0.0000
10,PSI,19862,3,229.5437,0.0000
11,GR-B,10116,0,0.0000,0.0000
11,GR-LS,10119,1,0.0000,0.0000
11,PSI,19862,3,229.5437,0.0000
12,GR-B,10116,0,0.0000,0.0000
12,GR-LS,10119,1,0.0000,0.0000
12,PSI,19862,3,229.5437,0.0000
13,GR-B,10116,0,0.0000,0.0000
13,GR-LS,10119,1,0.0000,0.0000
13,PSI,19862,3,229.5437,0.0000
14,GR-B,10116,0,0.0000,0.0000
14,GR-LS,10119,1,0.0000,0.0000
14,PSI,19862,3,229.5437,0.0000
15,GR-B,10116,0,0.0000,0.0000
15,GR-LS,10119,1,0.0000,0.0000
15,PSI,19862,3,229.5437,0.0000
16,GR-B,10116,0,0.0000,0.0000
16,GR-LS,10119,1,0.0000,0.0000
16,PSI,19862,3,229.5437,0.0000
17,GR-B,10116,0,0.0000,0.0000
17,GR-LS,10119,1,0.0000,0.0000
17,PSI,19862,3,229.5437,0.0000
18,GR-B,10116,0,0.0000,0.0000
18,GR-LS,10119,1,0.0000,0.0000
18,PSI,19862,3,229.5437,0.0000
19,GR-B,10116,0,0.0000,0.0000
19,GR-LS,10119,1,0.0000,0.0000
19,PSI,19862,3,229.5437,0.0000
20,GR-B,10116,0,0.0000,0.0000
20,GR-LS,10119,1,0.0000,0.0000
20,PSI,19862,3,229.5437,0.0000
21,GR-B,10116,0,0.0000,0.0000
21,GR-LS,10119,1,0.0000,0.0000
21,PSI,19862,3,229.5437,0.0000
22,GR-B,10116,0,0.0000,0.0000
22,GR-LS,10119,1,0.0000,0.0000
22,PSI,19862,3,229.5437,0.0000
23,GR-B,10116,0,0.0000,0.0000
23,GR-LS,10119,1,0.0000,0.0000
23,PSI,19862,3,229.5437,0.0000
24,GR-B,10116,0,0.0000,0.0000
24,GR-LS,10119,1,0.0000,0.0000
24,PSI,19862,3,229.5437,0.0000
25,GR-B,10116,0,0.0000,0.0000
25,GR-LS,10119,1,0.0000,0.0000
25,PSI,19862,3,229.5437,0.0000
26,GR-B,10116,0,0.0000,0.0000
26,GR-LS,10119,1,0.0000,0.0000
26,PSI,19862,3,229.5437,0.0000
27,GR-B,10116,0,0.0000,0.0000
27,GR-LS,10119,1,0.0000,0.0000
27,PSI,19862,3,229.5437,0.0000
28,GR-B,10116,0,0.0000,0.0000
28,GR-LS,10119,1,0.0000,0.0000
28,PSI,19862,3,229.5437,0.0000
29,GR-B,10116,0,0.0000,0.0000
29,GR-LS,10119,1,0.0000,0.0000
29,PSI,19862,3,229.5437,0.0000
30,GR-B,10116,0,0.0000,0.0000
30,GR-LS,10119,1,0.0000,0.0000
30,PSI,19862,3,229.5437,0.0000
31,GR-B,10116,0,0.0000,0.0000
31,GR-LS,10119,1,0.0000,0.0000
31,PSI,19862,3,229.5437,0.0000
32,GR-B,10116,0,0.0000,0.0000
32,GR-LS,10119,1,0.0000,0.0000
32,PSI,19862,3,229.5437,0.0000
33,GR-B,10116,0,0.0000,0.0000
33,GR-LS,10119,1,0.0000,0.0000
33,PSI,19862,3,229.5437,0.0000
34,GR-B,10116,0,0.0000,0.0000
34,GR-LS,10119,1,0.0000,0.0000
34,PSI,19862,3,229.5437,0.0000
35,GR-B,10116,0,0.0000,0.0000
35,GR-LS,10119,1,0.0000,0.0000
35,PSI,19862,3,229.5437,0.0000
36,GR-B,10116,0,0.0000,0.0000
36,GR-LS,10119,1,0.0000,0.0000
36,PSI,19862,3,229.5437,0.0000
37,GR-B,10116,0,0.0000,0.0000
37,GR-LS,10119,1,0.0000,0.0000
37,PSI,19862,3,229.5437,0.0000
38,GR-B,10116,0,0.0000,0.0000
38,GR-LS,10119,1,0.0000,0.0000
38,PSI,19862,3,229.5437,0.0000
39,GR-B,10116,0,0.0000,0.0000
39,GR-LS,10119,1,0.0000,0.0000
39,PSI,19862,3,229.5437,0.0000
40,GR-B,10116,0,0.0000,0.0000
40,GR-LS,10119,1,0.0000,0.0000
40,PSI,19862,3,229.5437,0.0000
41,GR-B,10116,0,0.0000,0.0000
41,GR-LS,10119,1,0.0000,0.0000
41,PSI,19862,3,229.5437,0.0000
42,GR-B,10116,0,0.0000,0.0000
42,GR-LS,10119,1,0.0000,0.0000
42,PSI,19862,3,229.5437,0.0000
43,GR-B,10116,0,0.0000,0.0000
43,GR-LS,10119,1,0.0000,0.0000
43,PSI,19862,3,229.5437,0.0000
44,GR-B,10116,0,0.0000,0.0000
44,GR-LS,10119,1,0.0000,0.0000
44,PSI,19862,3,229.5437,0.0000
45,GR-B,10116,0,0.0000,0.0000
45,GR-LS,10119,1,0.0000,0.0000
45,PSI,19862,3,229.5437,0.0000
46,GR-B,10116,0,0.0000,0.0000
46,GR-LS,10119,1,0.0000,0.0000
46,PSI,19862,3,229.5437,0.0000
47,GR-B,10116,0,0.0000,0.0000
47,GR-LS,10119,1,0.0000,0.0000
47,PSI,19862,3,229.5437,0.0000
48,GR-B,10116,0,0.0000,0.0000
48,GR-LS,10119,1,0.0000,0.0000
48,PSI,19862,3,229.5437,0.0000
49,GR-B,10116,0,0.0000,0.0000
49,GR-LS,10119,1,0.0000,0.0000
49,PSI,19862,3,229.5437,0.0000
50,GR-B,10116,0,0.0000,0.0000
50,GR-LS,10119,1,0.0000,0.0000
50,PSI,19862,3,229.5437,0.0000
51,GR-B,10116,0,0.0000,0.0000
51,GR-LS,10119,1,0.0000,0.0000
51,PSI,19862,3,229.5437,0.0000
52,GR-B,10116,0,0.0000,0.0000
52,GR-LS,10119,1,0.0000,0.0000
52,PSI,19862,3,229.5437,0.0000
53,GR-B,10116,0,0.0000,0.0000
53,GR-LS,10119,1,0.0000,0.0000
53,PSI,19862,3,229.5437,0.0000
54,GR-B,10116,0,0.0000,0.0000
54,GR-LS,10119,1,0.0000,0.0000
54,PSI,19862,3,229.5437,0.0000
55,GR-B,10116,0,0.0000,0.0000
55,GR-LS,10119,1,0.0000,0.0000
55,PSI,19862,3,229.5437,0.0000
56,GR-B,10116,0,0.0000,0.0000
56,GR-LS,10119,1,0.0000,0.0000
56,PSI,19862,3,229.5437,0.0000
57,GR-B,10116,0,0.0000,0.0000
57,GR-LS,10119,1,0.0000,0.0000
57,PSI,19862,3,229.5437,0.0000
58,GR-B,10116,0,0.0000,0.0000
58,GR-LS,10119,1,0.0000,0.0000
58,PSI,19862,3,229.5437,0.0000
59,GR-B,10116,0,0.0000,0.0000
59,GR-LS,10119,1,0.0000,0.0000
59,PSI,19862,3,229.5437,0.0000
60,GR-B,10116,0,0.0000,0.0000
60,GR-LS,10119,1,0.0000,0.0000
60,PSI,19862,3,229.5437,0.0000
61,GR-B,10116,0,0.0000,0.0000
61,GR-LS,10119,1,0.0000,0.0000
61,PSI,19862,3,229.5437,0.0000
62,GR-B,10116,0,0.0000,0.0000
62,GR-LS,10119,1,0.0000,0.0000
62,PSI,19862,3,229.5437,0.0000
63,GR-B,10116,0,0.0000,0.0000
63,GR-LS,10119,1,0.0000,0.0000
63,PSI,19862,3,229.5437,0.0000
64,GR-B,10116,0,0.0000,0.0000
64,GR-LS,10119,1,0.0000,0.0000
64,PSI,19862,3,229.5437,0.0000
65,GR-B,10116,0,0.0000,0.0000
65,GR-LS,10119,1,0.0000,0.0000
65,PSI,19862,3,229.5437,0.0000
66,GR-B,10116,0,0.0000,0.0000
66,GR-LS,10119,1,0.0000,0.0000
66,PSI,19862,3,229.5437,0.0000
67,GR-B,10116,0,0.0000,0.0000
67,GR-LS,10119,1,0.0000,0.0000
67,PSI,19862,3,229.5437,0.0000
68,GR-B,10116,0,0.0000,0.0000
68,GR-LS,10119,1,0.0000,0.0000
68,PSI,19862,3,229.5437,0.0000
69,GR-B,10116,0,0.0000,0.0000
69,GR-LS,10119,1,0.0000,0.0000
69,PSI,19862,3,229.5437,0.0000
70,GR-B,10116,0,0.0000,0.0000
70,GR-LS,10119,1,0.0000,0.0000
70,PSI,19862,3,229.5437,0.0000
71,GR-B,10116,0,0.0000,0.0000
71,GR-LS,10119,1,0.0000,0.0000
71,PSI,19862,3,229.5437,0.0000
72,GR-B,10116,0,0.0000,0.0000
72,GR-LS,10119,1,0.0000,0.0000
72,PSI,19862,3,229.5437,0.0000
73,GR-B,10116,0,0.0000,0.0000
73,GR-LS,10119,1,0.0000,0.0000
73,PSI,19862,3,229.5437,0.0000
74,GR-B,10116,0,0.0000,0.0000
74,GR-LS,10119,1,0.0000,0.0000
74,PSI,19862,3,229.5437,0.0000
75,GR-B,10116,0,0.0000,0.0000
75,GR-LS,10119,1,0.0000,0.0000
75,PSI,19862,3,229.5437,0.0000
76,GR-B,10116,0,0.0000,0.0000
76,GR-LS,10119,1,0.0000,0.0000
76,PSI,19862,3,229.5437,0.0000
77,GR-B,10116,0,0.0000,0.0000
77,GR-LS,10119,1,0.0000,0.0000
77,PSI,19862,3,229.5437,0.0000
78,GR-B,10116,0,0.0000,0.0000
78,GR-LS,10119,1,0.0000,0.0000
78,PSI,19862,3,229.5437,0.0000
79,GR-B,10116,0,0.0000,0.0000
79,GR-LS,10119,1,0.0000,0.0000
79,PSI,19862,3,229.5437,0.0000
80,GR-B,10116,0,0.0000,0.0000
80,GR-LS,10119,1,0.0000,0.0000
80,PSI,19862,3,229.5437,0.0000
81,GR-B,10116,0,0.0000,0.0000
81,GR-LS,10119,1,0.0000,0.0000
81,PSI,19862,3,229.5437,0.0000
82,GR-B,10116,0,0.0000,0.0000
82,GR-LS,10119,1,0.0000,0.0000
82,PSI,19862,3,229.5437,0.0000
83,GR-B,10116,0,0.0000,0.0000
83,GR-LS,10119,1,0.0000,0.0000
83,PSI,19862,3,229.5437,0.0000
84,GR-B,10116,0,0.0000,0.0000
84,GR-LS,10119,1,0.0000,0.0000
84,PSI,19862,3,229.5437,0.0000
85,GR-B,10116,0,0.0000,0.0000
85,GR-LS,10119,1,0.0000,0.0000
85,PSI,19862,3,229.5437,0.0000
86,GR-B,10116,0,0.0000,0.0000
86,GR-LS,10119,1,0.0000,0.0000
86,PSI,19862,3,229.5437,0.0000
87,GR-B,10116,0,0.0000,0.0000
87,GR-LS,10119,1,0.0000,0.0000
87,PSI,19862,3,229.5437,0.0000
88,GR-B,10116,0,0.0000,0.0000
88,GR-LS,10119,1,0.0000,0.0000
88,PSI,19862,3,229.5437,0.0000
89,GR-B,10116,0,0.0000,0.0000
89,GR-LS,10119,1,0.0000,0.0000
89,PSI,19862,3,229.5437,0.0000
90,GR-B,10116,0,0.0000,0.0000
90,GR-LS,10119,1,0.0000,0.0000
90,PSI,19862,3,229.5437,0.0000
91,GR-B,10116,0,0.0000,0.0000
91,GR-LS,10119,1,0.0000,0.0000
91,PSI,19862,3,229.5437,0.0000
92,GR-B,10116,0,0.0000,0.0000
92,GR-LS,10119,1,0.0000,0.0000
92,PSI,19862,3,229.5437,0.0000
93,GR-B,10116,0,0.0000,0.0000
93,GR-LS,10119,1,0.0000,0.0000
93,PSI,19862,3,229.5437,0.0000
94,GR-B,10116,0,0.0000,0.0000
94,GR-LS,10119,1,0.0000,0.0000
94,PSI,19862,3,229.5437,0.0000
95,GR-B,10116,0,0.0000,0.0000
95,GR-LS,10119,1,0.0000,0.0000
95,PSI,19862,3,229.5437,0.0000
96,GR-B,10116,0,0.0000,0.0000
96,GR-LS,10119,1,0.0000,0.0000
96,PSI,19862,3,229.5437,0.0000
