seed,dp_value,psi_value,gap_percent,repairs,final_N,final_coherence
1000,10246,10246,0.0000,22,3.89,0.0000
1001,9683,9674,0.0929,22,3.79,0.0000
1002,11179,11179,0.0000,8,3.79,0.0000
1003,10334,10320,0.1355,26,3.89,0.0000
1004,11416,11393,0.2015,17,3.80,0.0000
1005,10629,10619,0.0941,24,3.89,0.0000
1006,8735,8725,0.1145,16,3.71,0.0000
1007,10122,10122,0.0000,22,3.89,0.0000
1008,10986,10977,0.0819,23,3.89,0.0000
1009,9699,9699,0.0000,29,3.89,0.0000
1010,9659,9647,0.1242,25,3.80,0.0000
1011,9712,9703,0.0927,17,3.89,0.0000
1012,9413,9394,0.2018,13,3.77,0.0000
1013,10366,10366,0.0000,27,3.75,0.0000
1014,11346,11346,0.0000,26,3.77,0.0000
1015,9476,9472,0.0422,19,3.80,0.0000
1016,10483,10467,0.1526,14,3.89,0.0000
1017,9995,9989,0.0600,11,3.89,0.0000
1018,9325,9317,0.0858,18,3.89,0.0000
1019,11349,11340,0.0793,11,3.80,0.0000
1020,9714,9709,0.0515,23,3.89,0.0000
1021,10269,10260,0.0876,26,3.58,0.0000
1022,10292,10290,0.0194,28,3.89,0.0000
1023,10503,10494,0.0857,17,3.89,0.0000
1024,10477,10477,0.0000,18,3.89,0.0000
1025,10885,10885,0.0000,25,3.89,0.0000
1026,9984,9976,0.0801,25,3.75,0.0000
1027,9375,9375,0.0000,18,3.89,0.0000
1028,9825,9825,0.0000,28,3.63,0.0000
1029,10598,10598,0.0000,29,3.79,0.0000
1030,9695,9695,0.0000,12,3.89,0.0000
1031,10560,10553,0.0663,11,3.79,0.0000
1032,11201,11185,0.1428,25,3.67,0.0000
1033,9329,9329,0.0000,20,3.89,0.0000
1034,10709,10702,0.0654,18,3.89,0.0000
1035,10370,10365,0.0482,6,3.79,0.0000
1036,10842,10842,0.0000,23,3.89,0.0000
1037,9383,9378,0.0533,24,3.89,0.0000
1038,10455,10455,0.0000,22,3.89,0.0000
1039,11218,11218,0.0000,12,3.89,0.0000
1040,10115,10107,0.0791,19,3.89,0.0000
1041,11004,11002,0.0182,24,3.89,0.0000
1042,10261,10261,0.0000,19,3.89,0.0000
1043,10195,10195,0.0000,10,3.89,0.0000
1044,9418,9418,0.0000,21,3.78,0.0000
1045,10555,10553,0.0189,23,3.89,0.0000
1046,10377,10377,0.0000,24,3.89,0.0000
1047,9698,9680,0.1856,18,3.89,0.0000
1048,9542,9533,0.0943,11,3.89,0.0000
1049,9590,9590,0.0000,19,3.89,0.0000
1050,11190,11190,0.0000,26,3.89,0.0000
1051,10826,10822,0.0369,16,3.89,0.0000
1052,9938,9931,0.0704,23,3.89,0.0000
1053,9699,9687,0.1237,15,3.89,0.0000
1054,10181,10169,0.1179,28,3.89,0.0000
1055,9958,9945,0.1305,17,3.89,0.0000
1056,10378,10373,0.0482,29,3.72,0.0000
1057,9562,9562,0.0000,17,3.73,0.0000
1058,9691,9691,0.0000,20,3.80,0.0000
1059,9577,9577,0.0000,25,3.89,0.0000
1060,9212,9212,0.0000,23,3.66,0.0000
1061,9845,9834,0.1117,13,3.71,0.0000
1062,9580,9580,0.0000,26,3.89,0.0000
1063,10382,10372,0.0963,22,3.73,0.0000
1064,9944,9941,0.0302,22,3.79,0.0000
1065,9923,9909,0.1411,27,3.79,0.0000
1066,10166,10156,0.0984,24,3.79,0.0000
1067,9088,9088,0.0000,12,3.89,0.0000
1068,10022,10022,0.0000,17,3.79,0.0000
1069,10119,10119,0.0000,30,3.89,0.0000
1070,9671,9671,0.0000,23,3.78,0.0000
1071,10886,10886,0.0000,16,3.79,0.0000
1072,10725,10721,0.0373,17,3.89,0.0000
1073,9689,9689,0.0000,16,3.72,0.0000
1074,9181,9179,0.0218,23,3.80,0.0000
1075,9299,9299,0.0000,23,3.79,0.0000
1076,10200,10200,0.0000,11,3.80,0.0000
1077,10492,10483,0.0858,18,3.89,0.0000
1078,10661,10661,0.0000,23,3.79,0.0000
1079,10958,10949,0.0821,30,3.89,0.0000
1080,10358,10358,0.0000,25,3.78,0.0000
1081,10313,10306,0.0679,23,3.74,0.0000
1082,10326,10323,0.0291,18,3.79,0.0000
1083,8756,8751,0.0571,19,3.89,0.0000
1084,10491,10491,0.0000,24,3.89,0.0000
1085,11115,11102,0.1170,10,3.89,0.0000
1086,9732,9730,0.0206,23,3.80,0.0000
1087,9393,9393,0.0000,16,3.89,0.0000
1088,9736,9736,0.0000,20,3.74,0.0000
1089,10173,10168,0.0491,21,3.78,0.0000
1090,9901,9901,0.0000,15,3.89,0.0000
1091,9791,9784,0.0715,13,3.79,0.0000
1092,10553,10553,0.0000,21,3.89,0.0000
1093,10184,10182,0.0196,28,3.79,0.0000
1094,10732,10728,0.0373,23,3.89,0.0000
1095,9710,9701,0.0927,17,3.89,0.0000
1096,11124,11124,0.0000,19,3.89,0.0000
1097,10377,10377,0.0000,20,3.89,0.0000
1098,9611,9611,0.0000,21,3.89,0.0000
1099,10727,10716,0.1025,22,3.80,0.0000
