seed,dp_value,psi_value,gap_percent,iterations,repairs,final_N,final_coherence,final_residual,time_ms,exact_hit,feasible
1,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.95,0,1
2,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.32,0,1
3,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.29,0,1
4,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.32,0,1
5,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
6,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.26,0,1
7,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
8,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.27,0,1
9,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.32,0,1
10,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
11,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
12,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
13,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.31,0,1
14,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.27,0,1
15,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.32,0,1
16,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.26,0,1
17,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.33,0,1
18,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
19,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.26,0,1
20,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.29,0,1
21,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
22,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.25,0,1
23,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.26,0,1
24,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
25,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.29,0,1
26,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
