instance,method,value,weight
0,greedy,10319,1000
0,ls,10319,1000
0,psi,10319,1000
1,greedy,9094,997
1,ls,9096,1000
1,psi,9096,1000
2,greedy,12143,999
2,ls,12143,999
2,psi,12145,1000
3,greedy,9175,1000
3,ls,9175,1000
3,psi,9175,1000
4,greedy,10108,1000
4,ls,10108,1000
4,psi,10108,1000
5,greedy,9977,998
5,ls,9981,1000
5,psi,9981,1000
6,greedy,11657,998
6,ls,11660,1000
6,psi,11660,1000
7,greedy,9120,995
7,ls,9132,999
7,psi,9140,999
8,greedy,9924,1000
8,ls,9924,1000
8,psi,9924,1000
9,greedy,10624,1000
9,ls,10624,1000
9,psi,10624,1000
10,greedy,9758,998
10,ls,9763,999
10,psi,9763,999
11,greedy,8943,999
11,ls,8943,999
11,psi,8943,1000
12,greedy,9996,995
12,ls,10007,1000
12,psi,10012,999
13,greedy,10266,1000
13,ls,10266,1000
13,psi,10270,1000
14,greedy,9712,998
14,ls,9720,1000
14,psi,9720,1000
15,greedy,9516,999
15,ls,9516,999
15,psi,9516,999
16,greedy,10099,999
16,ls,10099,999
16,psi,10108,1000
17,greedy,10657,998
17,ls,10662,1000
17,psi,10674,1000
18,greedy,10553,999
18,ls,10553,999
18,psi,10564,1000
19,greedy,9827,993
19,ls,9829,998
19,psi,9836,1000
20,greedy,9300,997
20,ls,9304,999
20,psi,9322,1000
21,greedy,9503,997
21,ls,9506,998
21,psi,9506,998
22,greedy,9678,998
22,ls,9687,1000
22,psi,9687,1000
23,greedy,9744,998
23,ls,9744,998
23,psi,9746,1000
24,greedy,9674,1000
24,ls,9674,1000
24,psi,9674,1000
25,greedy,10376,998
25,ls,10384,1000
25,psi,10384,1000
26,greedy,9786,1000
26,ls,9786,1000
26,psi,9786,1000
27,greedy,10236,999
27,ls,10236,999
27,psi,10236,999
28,greedy,9936,998
28,ls,9936,998
28,psi,9936,998
29,greedy,10503,997
29,ls,10512,1000
29,psi,10512,1000
