iteration,residual,delta_residual,coherence,delta_coherence,N,value,weight,capacity
0,0.820000,-0.180000,0.358539,0.058539,14.889,19912,4924,1000
1,0.855000,0.035000,0.396876,0.038337,13.716,19912,4924,1000
2,0.890000,0.035000,0.429462,0.032586,12.530,19912,4924,1000
3,0.925000,0.035000,0.457160,0.027698,11.477,19912,4924,1000
4,0.960000,0.035000,0.480704,0.023544,10.550,19912,4924,1000
5,0.995000,0.035000,0.500716,0.020012,9.739,19912,4924,1000
6,1.000000,0.005000,0.548477,0.047761,9.033,19912,4924,1000
7,1.000000,0.000000,0.594955,0.046478,8.377,19912,4924,1000
8,1.000000,0.000000,0.634462,0.039507,7.769,19912,4924,1000
9,1.000000,0.000000,0.668043,0.033581,7.215,19912,4924,1000
10,1.000000,0.000000,0.696586,0.028544,6.716,19912,4924,1000
11,1.000000,0.000000,0.720848,0.024262,6.269,19912,4924,1000
12,1.000000,0.000000,0.741471,0.020623,5.874,19912,4924,1000
13,1.000000,0.000000,0.759000,0.017529,5.526,19912,4924,1000
14,1.000000,0.000000,0.773900,0.014900,5.221,19912,4924,1000
15,1.000000,0.000000,0.786565,0.012665,4.955,19912,4924,1000
16,1.000000,0.000000,0.797331,0.010765,4.725,19912,4924,1000
17,1.000000,0.000000,0.806481,0.009150,4.526,19912,4924,1000
18,1.000000,0.000000,0.814259,0.007778,4.354,19912,4924,1000
19,1.000000,0.000000,0.820870,0.006611,4.206,19912,4924,1000
20,1.000000,0.000000,0.826489,0.005620,4.079,19912,4924,1000
21,1.000000,0.000000,0.831266,0.004777,3.970,19912,4924,1000
22,1.000000,0.000000,0.835326,0.004060,3.877,19912,4924,1000
23,1.000000,0.000000,0.838777,0.003451,3.797,19912,4924,1000
24,1.000000,0.000000,0.841711,0.002933,3.729,19912,4924,1000
25,1.000000,0.000000,0.844204,0.002493,3.671,19912,4924,1000
26,1.000000,0.000000,0.846323,0.002119,3.622,19912,4924,1000
27,1.000000,0.000000,0.848125,0.001801,3.579,19912,4924,1000
28,1.000000,0.000000,0.849656,0.001531,3.543,19912,4924,1000
29,1.000000,0.000000,0.850958,0.001302,3.513,19912,4924,1000
30,1.000000,0.000000,0.852064,0.001106,3.487,19912,4924,1000
31,1.000000,0.000000,0.853004,0.000940,3.465,19912,4924,1000
32,1.000000,0.000000,0.853804,0.000799,3.446,19912,4924,1000
33,1.000000,0.000000,0.854483,0.000679,3.430,19912,4924,1000
34,1.000000,0.000000,0.855061,0.000578,3.416,19912,4924,1000
35,1.000000,0.000000,0.855552,0.000491,3.404,19912,4924,1000
36,1.000000,0.000000,0.855969,0.000417,3.395,19912,4924,1000
37,1.000000,0.000000,0.856324,0.000355,3.386,19912,4924,1000
38,1.000000,0.000000,0.856625,0.000301,3.379,19912,4924,1000
39,1.000000,0.000000,0.856881,0.000256,3.373,19912,4924,1000
40,1.000000,0.000000,0.857099,0.000218,3.368,19912,4924,1000
41,1.000000,0.000000,0.857284,0.000185,3.363,19912,4924,1000
42,1.000000,0.000000,0.857442,0.000157,3.360,19912,4924,1000
43,1.000000,0.000000,0.857575,0.000134,3.357,19912,4924,1000
44,1.000000,0.000000,0.857689,0.000114,3.354,19912,4924,1000
45,1.000000,0.000000,0.857786,0.000097,3.352,19912,4924,1000
46,1.000000,0.000000,0.857868,0.000082,3.350,19912,4924,1000
47,1.000000,0.000000,0.857938,0.000070,3.348,19912,4924,1000
48,1.000000,0.000000,0.857997,0.000059,3.347,19912,4924,1000
49,1.000000,0.000000,0.858047,0.000050,3.345,19912,4924,1000
50,1.000000,0.000000,0.858090,0.000043,3.344,19912,4924,1000
51,1.000000,0.000000,0.858127,0.000036,3.344,19912,4924,1000
52,1.000000,0.000000,0.858158,0.000031,3.343,19912,4924,1000
53,1.000000,0.000000,0.858184,0.000026,3.342,19912,4924,1000
54,1.000000,0.000000,0.858206,0.000022,3.342,19912,4924,1000
55,1.000000,0.000000,0.858226,0.000019,3.341,19912,4924,1000
56,1.000000,0.000000,0.858242,0.000016,3.341,19912,4924,1000
57,1.000000,0.000000,0.858255,0.000014,3.341,19912,4924,1000
58,1.000000,0.000000,0.858267,0.000012,3.340,19912,4924,1000
59,1.000000,0.000000,0.858277,0.000010,3.340,19912,4924,1000
60,1.000000,0.000000,0.858285,0.000008,3.340,19912,4924,1000
61,1.000000,0.000000,0.858293,0.000007,3.340,19912,4924,1000
62,1.000000,0.000000,0.858299,0.000006,3.340,19912,4924,1000
63,1.000000,0.000000,0.858304,0.000005,3.339,19912,4924,1000
64,1.000000,0.000000,0.858308,0.000004,3.339,19912,4924,1000
65,1.000000,0.000000,0.858312,0.000004,3.339,19912,4924,1000
66,1.000000,0.000000,0.858315,0.000003,3.339,19912,4924,1000
67,1.000000,0.000000,0.858318,0.000003,3.339,19912,4924,1000
68,1.000000,0.000000,0.858320,0.000002,3.339,19912,4924,1000
69,1.000000,0.000000,0.858322,0.000002,3.339,19912,4924,1000
70,1.000000,0.000000,0.858324,0.000002,3.339,19912,4924,1000
71,1.000000,0.000000,0.858325,0.000001,3.339,19912,4924,1000
72,1.000000,0.000000,0.858327,0.000001,3.339,19912,4924,1000
73,1.000000,0.000000,0.858328,0.000001,3.339,19912,4924,1000
74,1.000000,0.000000,0.858328,0.000001,3.339,19912,4924,1000
75,1.000000,0.000000,0.858329,0.000001,3.339,19912,4924,1000
76,1.000000,0.000000,0.858330,0.000001,3.339,19912,4924,1000
