iteration,residual,delta_residual,coherence,delta_coherence,N,value,weight,capacity,feasible
0,0.004393,-0.025607,0.654601,-0.012899,13.000,10119,1000,1000,1
1,0.001803,-0.002590,0.650745,-0.003856,10.441,10119,1000,1000,1
2,0.002789,0.000986,0.649012,-0.001734,8.549,10119,1000,1000,1
3,0.000368,-0.002421,0.649662,0.000650,7.149,10119,1000,1000,1
4,0.002646,0.002278,0.648686,-0.000975,6.108,10119,1000,1000,1
5,0.002874,0.000228,0.648394,-0.000293,5.339,10119,1000,1000,1
6,0.000287,-0.002586,0.772018,0.123624,4.768,10119,1000,1000,1
7,0.000029,-0.000259,0.809105,0.037087,4.300,10119,1000,1000,1
8,0.000003,-0.000026,0.820232,0.011126,3.958,10119,1000,1000,1
9,0.000000,-0.000003,0.823569,0.003338,3.714,10119,1000,1000,1
10,0.002609,0.002609,0.700859,-0.122711,3.543,10119,1000,1000,1
11,0.000261,-0.002348,0.787758,0.086899,3.431,10119,1000,1000,1
12,0.000026,-0.000235,0.813827,0.026070,3.346,10119,1000,1000,1
13,0.000003,-0.000023,0.821648,0.007821,3.284,10119,1000,1000,1
14,0.000000,-0.000002,0.823994,0.002346,3.241,10119,1000,1000,1
15,0.002609,0.002609,0.700986,-0.123008,3.210,10119,1000,1000,1
16,0.000409,-0.002200,0.665227,-0.035760,3.189,10119,1000,1000,1
17,0.000189,-0.000220,0.654499,-0.010728,3.172,10119,1000,1000,1
18,0.000019,-0.000170,0.773850,0.119351,3.160,10119,1000,1000,1
19,0.000002,-0.000017,0.809655,0.035805,3.153,10119,1000,1000,1
20,0.000148,0.000147,0.697827,-0.111828,3.149,10119,1000,1000,1
21,0.000015,-0.000134,0.786848,0.089021,3.143,10119,1000,1000,1
22,0.000001,-0.000013,0.813554,0.026706,3.141,10119,1000,1000,1
23,0.002609,0.002608,0.697854,-0.115700,3.140,10119,1000,1000,1
24,0.000261,-0.002348,0.786856,0.089002,3.137,10119,1000,1000,1
25,0.000115,-0.000146,0.691015,-0.095841,3.137,10119,1000,1000,1
26,0.002620,0.002505,0.661093,-0.029923,3.135,10119,1000,1000,1
27,0.000410,-0.002210,0.653259,-0.007834,3.133,10119,1000,1000,1
28,0.000130,-0.000280,0.650936,-0.002323,3.131,10119,1000,1000,1
29,0.000013,-0.000117,0.772781,0.121845,3.130,10119,1000,1000,1
30,0.000416,0.000403,0.686641,-0.086140,3.131,10119,1000,1000,1
31,0.000190,-0.000226,0.660923,-0.025718,3.130,10119,1000,1000,1
32,0.000019,-0.000171,0.775777,0.114854,3.129,10119,1000,1000,1
33,0.000002,-0.000017,0.810233,0.034456,3.131,10119,1000,1000,1
34,0.000000,-0.000002,0.820570,0.010337,3.133,10119,1000,1000,1
35,0.002609,0.002609,0.699959,-0.120611,3.134,10119,1000,1000,1
36,0.000261,-0.002348,0.787488,0.087529,3.133,10119,1000,1000,1
37,0.002635,0.002374,0.690034,-0.097453,3.134,10119,1000,1000,1
38,0.001657,-0.000978,0.661362,-0.028673,3.133,10119,1000,1000,1
39,0.000166,-0.001491,0.775908,0.114547,3.131,10119,1000,1000,1
40,0.000017,-0.000149,0.810273,0.034364,3.132,10119,1000,1000,1
41,0.001395,0.001379,0.697433,-0.112839,3.134,10119,1000,1000,1
42,0.000140,-0.001256,0.786730,0.089297,3.133,10119,1000,1000,1
43,0.000014,-0.000126,0.813519,0.026789,3.134,10119,1000,1000,1
44,0.000594,0.000580,0.698779,-0.114740,3.135,10119,1000,1000,1
45,0.000059,-0.000535,0.787134,0.088354,3.133,10119,1000,1000,1
46,0.001162,0.001103,0.690602,-0.096532,3.134,10119,1000,1000,1
47,0.000116,-0.001046,0.784680,0.094079,3.133,10119,1000,1000,1
48,0.000012,-0.000105,0.812904,0.028224,3.134,10119,1000,1000,1
49,0.002610,0.002598,0.697659,-0.115245,3.135,10119,1000,1000,1
50,0.000261,-0.002349,0.786798,0.089139,3.133,10119,1000,1000,1
51,0.002635,0.002374,0.689827,-0.096971,3.134,10119,1000,1000,1
52,0.001657,-0.000978,0.661299,-0.028528,3.133,10119,1000,1000,1
53,0.000937,-0.000720,0.653031,-0.008269,3.131,10119,1000,1000,1
54,0.000094,-0.000843,0.773409,0.120379,3.130,10119,1000,1000,1
55,0.000009,-0.000084,0.809523,0.036114,3.131,10119,1000,1000,1
56,0.000001,-0.000008,0.820357,0.010834,3.133,10119,1000,1000,1
57,0.000415,0.000414,0.700914,-0.119443,3.135,10119,1000,1000,1
58,0.001969,0.001553,0.664378,-0.036536,3.133,10119,1000,1000,1
59,0.000197,-0.001772,0.776813,0.112436,3.132,10119,1000,1000,1
60,0.000020,-0.000177,0.810544,0.033731,3.133,10119,1000,1000,1
61,0.000002,-0.000018,0.820663,0.010119,3.134,10119,1000,1000,1
62,0.002609,0.002607,0.699987,-0.120676,3.135,10119,1000,1000,1
63,0.001032,-0.001577,0.664637,-0.035350,3.134,10119,1000,1000,1
64,0.000696,-0.000336,0.654115,-0.010522,3.132,10119,1000,1000,1
65,0.000218,-0.000478,0.651165,-0.002949,3.131,10119,1000,1000,1
66,0.002631,0.002413,0.649137,-0.002028,3.129,10119,1000,1000,1
67,0.001034,-0.001597,0.649382,0.000245,3.128,10119,1000,1000,1
68,0.000103,-0.000931,0.772315,0.122933,3.128,10119,1000,1000,1
69,0.001937,0.001834,0.685798,-0.086517,3.130,10119,1000,1000,1
70,0.000342,-0.001595,0.660670,-0.025128,3.130,10119,1000,1000,1
71,0.002643,0.002301,0.651989,-0.008681,3.129,10119,1000,1000,1
72,0.002873,0.000230,0.649385,-0.002604,3.128,10119,1000,1000,1
73,0.002896,0.000023,0.648603,-0.000781,3.128,10119,1000,1000,1
74,0.000290,-0.002607,0.772081,0.123478,3.127,10119,1000,1000,1
75,0.000029,-0.000261,0.809124,0.037043,3.129,10119,1000,1000,1
76,0.000003,-0.000026,0.820237,0.011113,3.132,10119,1000,1000,1
77,0.002609,0.002606,0.699859,-0.120378,3.134,10119,1000,1000,1
78,0.000261,-0.002348,0.787458,0.087599,3.133,10119,1000,1000,1
79,0.002635,0.002374,0.690025,-0.097433,3.134,10119,1000,1000,1
